[1461131653] SERVICE NOTIFICATION: mkeventd;119.81.17.213;PING;WARNING;mail;WARNING - 119.81.17.213: rta 58.541ms, lost 40%
[1461131709] SERVICE NOTIFICATION: mkeventd;119.81.17.213;PING;OK;mail;OK - 119.81.17.213: rta 62.682ms, lost 0%
[1461131842] SERVICE NOTIFICATION: mkeventd;119.81.48.203;PING;WARNING;mail;WARNING - 119.81.48.203: rta 67.002ms, lost 40%
[1461131959] SERVICE NOTIFICATION: mkeventd;119.81.48.203;PING;OK;mail;OK - 119.81.48.203: rta 75.588ms, lost 0%
[1461131968] SERVICE NOTIFICATION: mkeventd;119.81.48.204;PING;OK;mail;OK - 119.81.48.204: rta 66.446ms, lost 0%
[1461132165] SERVICE NOTIFICATION: Techwave;216.12.199.10;PING;OK;mail;OK - 216.12.199.10: rta 67.448ms, lost 20%
[1461132165] SERVICE NOTIFICATION: mkeventd;216.12.199.10;PING;OK;mail;OK - 216.12.199.10: rta 67.448ms, lost 20%
[1461132359] HOST NOTIFICATION: Techwave;134.213.185.28;DOWN;mail;CRITICAL - 134.213.185.28: rta nan, lost 100%
[1461132359] HOST NOTIFICATION: mkeventd;134.213.185.28;DOWN;mail;CRITICAL - 134.213.185.28: rta nan, lost 100%
[1461132400] HOST NOTIFICATION: Techwave;134.213.185.28;UP;mail;OK - 134.213.185.28: rta 137.696ms, lost 0%
[1461132400] HOST NOTIFICATION: mkeventd;134.213.185.28;UP;mail;OK - 134.213.185.28: rta 137.696ms, lost 0%
[1461132849] SERVICE NOTIFICATION: Techwave;119.81.17.213;PING;OK;mail;OK - 119.81.17.213: rta 63.690ms, lost 0%
[1461132849] SERVICE NOTIFICATION: mkeventd;119.81.17.213;PING;OK;mail;OK - 119.81.17.213: rta 63.690ms, lost 0%
[1461132905] SERVICE NOTIFICATION: Techwave;134.213.185.29;PING;CRITICAL;mail;CRITICAL - 134.213.185.29: rta nan, lost 100%
[1461132905] SERVICE NOTIFICATION: mkeventd;134.213.185.29;PING;CRITICAL;mail;CRITICAL - 134.213.185.29: rta nan, lost 100%
[1461132931] SERVICE NOTIFICATION: Techwave;119.81.48.204;PING;WARNING;mail;WARNING - 119.81.48.204: rta 57.176ms, lost 40%
[1461132931] SERVICE NOTIFICATION: mkeventd;119.81.48.204;PING;WARNING;mail;WARNING - 119.81.48.204: rta 57.176ms, lost 40%
[1461132946] SERVICE NOTIFICATION: Techwave;134.213.185.29;PING;OK;mail;OK - 134.213.185.29: rta 138.813ms, lost 0%
[1461132946] SERVICE NOTIFICATION: mkeventd;134.213.185.29;PING;OK;mail;OK - 134.213.185.29: rta 138.813ms, lost 0%
[1461132971] SERVICE NOTIFICATION: Techwave;119.81.17.211;PING;WARNING;mail;WARNING - 119.81.17.211: rta 65.482ms, lost 40%
[1461132971] SERVICE NOTIFICATION: mkeventd;119.81.17.211;PING;WARNING;mail;WARNING - 119.81.17.211: rta 65.482ms, lost 40%
[1461132991] SERVICE NOTIFICATION: Techwave;119.81.48.204;PING;OK;mail;OK - 119.81.48.204: rta 58.135ms, lost 20%
[1461132991] SERVICE NOTIFICATION: mkeventd;119.81.48.204;PING;OK;mail;OK - 119.81.48.204: rta 58.135ms, lost 20%
[1461133039] SERVICE NOTIFICATION: Techwave;119.81.48.203;PING;OK;mail;OK - 119.81.48.203: rta 65.059ms, lost 0%
[1461133039] SERVICE NOTIFICATION: mkeventd;119.81.48.203;PING;OK;mail;OK - 119.81.48.203: rta 65.059ms, lost 0%
[1461133087] SERVICE NOTIFICATION: Techwave;119.81.17.211;PING;OK;mail;OK - 119.81.17.211: rta 66.138ms, lost 0%
[1461133087] SERVICE NOTIFICATION: mkeventd;119.81.17.211;PING;OK;mail;OK - 119.81.17.211: rta 66.138ms, lost 0%
[1461133392] SERVICE NOTIFICATION: Techwave;119.81.17.213;PING;WARNING;mail;WARNING - 119.81.17.213: rta 68.404ms, lost 40%
[1461133392] SERVICE NOTIFICATION: mkeventd;119.81.17.213;PING;WARNING;mail;WARNING - 119.81.17.213: rta 68.404ms, lost 40%
[1461133449] SERVICE NOTIFICATION: Techwave;119.81.17.213;PING;OK;mail;OK - 119.81.17.213: rta 61.384ms, lost 0%
[1461133449] SERVICE NOTIFICATION: mkeventd;119.81.17.213;PING;OK;mail;OK - 119.81.17.213: rta 61.384ms, lost 0%
[1461133581] SERVICE NOTIFICATION: Techwave;119.81.48.202;PING;WARNING;mail;WARNING - 119.81.48.202: rta 66.278ms, lost 40%
[1461133581] SERVICE NOTIFICATION: mkeventd;119.81.48.202;PING;WARNING;mail;WARNING - 119.81.48.202: rta 66.278ms, lost 40%
[1461133632] SERVICE NOTIFICATION: Techwave;119.81.17.213;PING;WARNING;mail;WARNING - 119.81.17.213: rta 58.383ms, lost 40%
[1461133632] SERVICE NOTIFICATION: mkeventd;119.81.17.213;PING;WARNING;mail;WARNING - 119.81.17.213: rta 58.383ms, lost 40%
[1461133638] SERVICE NOTIFICATION: Techwave;119.81.48.202;PING;OK;mail;OK - 119.81.48.202: rta 70.494ms, lost 0%
[1461133638] SERVICE NOTIFICATION: mkeventd;119.81.48.202;PING;OK;mail;OK - 119.81.48.202: rta 70.494ms, lost 0%
[1461133689] SERVICE NOTIFICATION: Techwave;119.81.17.213;PING;OK;mail;OK - 119.81.17.213: rta 56.824ms, lost 0%
[1461133689] SERVICE NOTIFICATION: mkeventd;119.81.17.213;PING;OK;mail;OK - 119.81.17.213: rta 56.824ms, lost 0%
[1461134416] HOST NOTIFICATION: Techwave;208.43.81.36;DOWN;mail;CRITICAL - 208.43.81.36: rta nan, lost 100%
[1461134416] HOST NOTIFICATION: mkeventd;208.43.81.36;DOWN;mail;CRITICAL - 208.43.81.36: rta nan, lost 100%
[1461134841] SERVICE NOTIFICATION: Techwave;119.81.17.213;PING;OK;mail;OK - 119.81.17.213: rta 52.874ms, lost 0%
[1461134841] SERVICE NOTIFICATION: mkeventd;119.81.17.213;PING;OK;mail;OK - 119.81.17.213: rta 52.874ms, lost 0%
[1461135985] SERVICE NOTIFICATION: Techwave;119.81.41.254;PING;WARNING;mail;WARNING - 119.81.41.254: rta 68.033ms, lost 40%
[1461135985] SERVICE NOTIFICATION: mkeventd;119.81.41.254;PING;WARNING;mail;WARNING - 119.81.41.254: rta 68.033ms, lost 40%
[1461136041] SERVICE NOTIFICATION: Techwave;119.81.41.254;PING;OK;mail;OK - 119.81.41.254: rta 83.030ms, lost 0%
[1461136041] SERVICE NOTIFICATION: mkeventd;119.81.41.254;PING;OK;mail;OK - 119.81.41.254: rta 83.030ms, lost 0%
[1461136405] SERVICE NOTIFICATION: Techwave;119.81.17.214;PING;WARNING;mail;WARNING - 119.81.17.214: rta 64.568ms, lost 40%
[1461136405] SERVICE NOTIFICATION: mkeventd;119.81.17.214;PING;WARNING;mail;WARNING - 119.81.17.214: rta 64.568ms, lost 40%
[1461136461] SERVICE NOTIFICATION: Techwave;119.81.17.214;PING;OK;mail;OK - 119.81.17.214: rta 62.290ms, lost 0%
[1461136461] SERVICE NOTIFICATION: mkeventd;119.81.17.214;PING;OK;mail;OK - 119.81.17.214: rta 62.290ms, lost 0%
[1461138445] SERVICE NOTIFICATION: Techwave;119.81.17.211;PING;WARNING;mail;WARNING - 119.81.17.211: rta 65.287ms, lost 40%
[1461138445] SERVICE NOTIFICATION: mkeventd;119.81.17.211;PING;WARNING;mail;WARNING - 119.81.17.211: rta 65.287ms, lost 40%
[1461138501] SERVICE NOTIFICATION: Techwave;119.81.17.211;PING;OK;mail;OK - 119.81.17.211: rta 63.539ms, lost 0%
[1461138501] SERVICE NOTIFICATION: mkeventd;119.81.17.211;PING;OK;mail;OK - 119.81.17.211: rta 63.539ms, lost 0%
[1461139845] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.175ms, lost 0%
[1461139845] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.175ms, lost 0%
[1461139853] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;Check_MK Discovery;UNKNOWN;mail;UNKNOWN - Cannot get data from TCP port 208.43.81.37:6556: [Errno 111] Connection refused
[1461139853] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;Check_MK Discovery;UNKNOWN;mail;UNKNOWN - Cannot get data from TCP port 208.43.81.37:6556: [Errno 111] Connection refused
[1461140436] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.952ms, lost 0%
[1461140436] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.952ms, lost 0%
[1461146483] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461146483] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461152496] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 315.891ms, lost 0%
[1461152496] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 315.891ms, lost 0%
[1461152556] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.896ms, lost 0%
[1461152556] SERVICE NOTIFICATION: mkeventd;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 315.896ms, lost 0%
[1461156953] HOST NOTIFICATION: Techwave;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461156953] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;DOWN;mail;CRITICAL - 208.43.81.37: rta nan, lost 100%
[1461157078] HOST NOTIFICATION: Techwave;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.215ms, lost 0%
[1461157078] HOST NOTIFICATION: mkeventd;server06-new.isb.edu;UP;mail;WARNING - 208.43.81.37: rta 316.215ms, lost 0%
[1461157116] SERVICE NOTIFICATION: Techwave;server06-new.isb.edu;PING;WARNING;mail;WARNING - 208.43.81.37: rta 316.210ms, lost 0%
